aX,aY,aZ,gX,gY,gZ
-0.668,-0.376,0.594,114.014,-24.536,84.045
-0.708,-0.347,0.672,124.817,-27.71,87.341
-0.751,-0.341,0.748,134.338,-29.236,89.294
-0.786,-0.351,0.818,141.357,-29.236,89.6
-0.811,-0.36,0.87,145.142,-28.198,88.44
-0.81,-0.302,0.92,146.606,-25.94,86.182
-0.805,-0.195,0.97,147.888,-23.804,83.984
-0.809,-0.08,1.004,152.161,-21.912,82.642
-0.799,-0.014,1.015,159.424,-19.897,82.397
-0.787,0.019,1.042,167.053,-18.738,82.214
-0.812,0.028,1.105,171.936,-18.066,83.008
-0.801,-0.021,1.136,171.021,-16.418,85.876
-0.789,0.045,1.151,160.4,-15.137,89.417
-0.743,0.138,1.158,145.325,-15.381,94.116
-0.71,0.208,1.172,129.333,-17.761,98.877
-0.69,0.269,1.203,112.366,-21.606,102.173
-0.695,0.345,1.246,95.215,-25.208,102.6
-0.709,0.414,1.304,79.712,-26.611,100.342
-0.72,0.418,1.345,66.284,-25.452,96.375
-0.709,0.4,1.353,52.795,-22.522,91.309
-0.683,0.385,1.351,38.818,-18.616,85.022
-0.635,0.37,1.318,25.146,-14.526,77.271
-0.58,0.405,1.315,13.123,-11.292,69.458
-0.548,0.353,1.301,4.333,-10.376,63.538
-0.529,0.234,1.263,-4.15,-11.23,60.242
-0.509,0.184,1.228,-14.771,-12.573,57.678
-0.489,0.17,1.208,-24.719,-14.465,55.42
-0.48,0.139,1.21,-30.701,-16.907,53.65
-0.496,0.046,1.225,-32.898,-19.165,52.49
-0.513,-0.423,1.32,-34.912,-20.752,51.697
-0.573,-3.083,2.139,-63.721,-17.639,48.096
-1.658,0.775,2.633,-224.304,16.724,22.827
0.067,2.042,1.139,-263.245,83.13,23.804
-0.763,0.816,1.865,-135.864,85.022,23.926
-1.041,0.325,1.895,-87.036,103.088,-4.883
-0.186,-0.084,1.044,-62.378,127.869,-15.076
0.052,-0.43,1.083,-54.016,120.605,-21.301
0.295,-0.302,1.121,-62.622,91.553,-19.226
0.503,0.052,1.106,-60.486,63.354,-17.09
0.372,0.216,1.111,-48.889,31.189,-19.836
-0.033,0.125,1.05,-29.968,3.113,-16.968
-0.416,-0.031,1.021,-11.719,-13.672,-8.606
-0.516,-0.097,0.989,-1.282,-18.86,-3.418
-0.416,-0.117,0.912,3.601,-17.578,-1.953
-0.359,-0.149,0.872,6.104,-17.029,-1.648
-0.406,-0.125,0.862,7.507,-17.029,-1.282
-0.495,-0.083,0.882,9.521,-16.235,-0.244
-0.537,-0.052,0.883,12.695,-13.367,1.892
-0.54,-0.021,0.881,16.846,-9.827,5.432
-0.55,-0.118,0.878,21.973,-6.104,9.644
-0.513,-0.271,0.853,24.597,-1.953,12.207
-0.454,-0.377,0.833,22.339,1.953,12.085
-0.403,-0.426,0.833,16.663,4.639,9.705
-0.365,-0.431,0.833,9.155,5.859,5.676
-0.347,-0.397,0.842,1.16,5.981,1.282
-0.347,-0.33,0.854,-5.493,5.371,-2.258
-0.378,-0.269,0.876,-10.071,4.7,-4.517
-0.398,-0.224,0.893,-12.634,4.089,-5.92
-0.395,-0.188,0.9,-13.184,3.723,-6.287
-0.39,-0.16,0.908,-12.329,2.93,-5.676
-0.384,-0.153,0.907,-10.071,1.892,-4.578
-0.383,-0.163,0.905,-7.568,0.793,-3.357
-0.384,-0.175,0.893,-5.676,-0.061,-2.441
-0.401,-0.184,0.898,-4.517,-0.854,-2.136
-2.219,-0.902,2.576,67.383,-155.151,-42.419
-2.511,-1.217,3.096,55.359,-141.602,-69.153
-2.085,-0.952,3.048,22.461,-114.746,-88.562
-1.497,-0.573,2.732,2.075,-97.351,-98.877
-1.186,-0.482,2.489,5.676,-102.051,-104.614
-1.194,-0.693,2.408,17.578,-122.314,-107.3
-1.336,-0.918,2.454,19.409,-141.541,-106.812
-1.437,-0.978,2.487,7.629,-150.33,-101.135
-1.411,-0.918,2.424,-10.01,-146.912,-90.942
-1.281,-0.806,2.274,-25.024,-136.353,-77.637
-1.169,-0.714,2.042,-33.752,-123.84,-62.866
-1.053,-0.677,1.762,-36.987,-111.328,-47.791
-0.907,-0.676,1.478,-38.452,-99.06,-33.691
-0.803,-0.7,1.256,-40.71,-87.769,-20.691
-0.738,-0.665,1.092,-44.861,-75.867,-6.958
-0.667,-0.617,0.909,-49.011,-62.378,7.874
-0.592,-0.56,0.688,-51.147,-46.57,23.071
-0.46,-0.469,0.432,-51.147,-29.602,36.255
-0.282,-0.342,0.187,-48.34,-13.794,47.18
-0.182,-0.282,0.01,-40.955,-1.526,55.42
-0.178,-0.246,-0.104,-31.738,8.423,63.599
-0.16,-0.167,-0.207,-24.292,17.273,72.815
-0.107,-0.094,-0.304,-17.334,25.879,80.261
-0.061,-0.067,-0.391,-11.719,33.875,84.229
-0.022,-0.055,-0.464,-9.766,40.771,85.571
0.042,0.017,-0.531,-12.268,45.837,85.388
0.112,0.16,-0.585,-15.259,49.011,83.923
0.167,0.316,-0.618,-14.282,51.331,81.421
0.226,0.393,-0.654,-8.728,53.528,77.087
0.276,0.383,-0.691,-2.441,55.359,70.374
0.284,0.322,-0.714,0.244,56.519,61.523
0.276,0.289,-0.726,-2.258,57.19,52.368
0.255,0.332,-0.737,-7.751,56.763,44.434
0.224,0.417,-0.745,-10.742,55.908,38.33
